Country: IL, city: Tel Aviv
null
10/12/2018 00:07:24.046,!Application................: Start
10/12/2018 00:07:35.635,!EEPROM Data................: OK.
10/12/2018 00:07:35.643,!SD card....................: Free: 14.2 MB from: 15.7 MB
10/12/2018 00:07:35.855,!LOG File...................: LOG_66_.CSV started
10/12/2018 00:07:36.010,!Version....................: SmartAir Nano 1.19 Nov  5 2018 10:59:27
10/12/2018 00:07:36.033,!MCU ID.....................: 003B003A 31375119 38323937
10/12/2018 00:07:36.066,!ARM height..........[m].ARH: 1.0    [0.0   /5.0   /32000.0]
10/12/2018 00:07:36.077,!DISARM height.......[m].DRH: 10.0   [-5000.0/3.0   /32000.0]
10/12/2018 00:07:36.089,!Vibrations value.[m/s2].VIB: 0.0001 [0.0   /2.0   /12.0]
10/12/2018 00:07:36.101,!No vibrations time..[s].NVI: 30     [1     /30    /3600  ]
10/12/2018 00:07:36.113,!Vibrations time.....[s].VIT: 10     [0     /10    /3600  ]
10/12/2018 00:07:36.125,!DISARM hgt/novib[1/2/3]DISE: 2      [0     /2     /3     ]
10/12/2018 00:07:36.137,!ARM hgt/novib...[1/2/3]ARME: 2      [0     /2     /3     ]
10/12/2018 00:07:36.149,!Vibrations freq...[sec].VIF: 100    [1     /100   /1000  ]
10/12/2018 00:07:36.161,!Start ARM mode..........ARM: 1      [0     /2     /2     ] 0-Manual ARM/DIS,1-Manual ARM/Auto DIS,2-Auto ARM/DIS
10/12/2018 00:07:36.174,!Start ARM mode.............: Manual ARM/Auto DISARM
10/12/2018 00:07:36.196,!Roll calibr.value.[deg].RCV: 3.5    [-90.0 /0.0   /90.0  ]
10/12/2018 00:07:36.207,!Pitch calibr.value[deg].PCV: 0.5    [-180.0/0.0   /180.0 ]
10/12/2018 00:07:36.219,!Landing gear auto.[0/1].LGR: 0      [0     /0     /1     ]
10/12/2018 00:07:36.231,!BARO sensor type........MST: 1      [0     /1     /1     ]
10/12/2018 00:07:36.243,!IMU Configuration.......IMU: 38    
10/12/2018 00:07:36.255,!IMU_ORIENTUS........[IMU+8]: DISABLED
10/12/2018 00:07:36.266,!IMU_SENSAIR........[IMU+16]: DISABLED
